unit,time,x,y
u05,t04,0.063326885776332,0.113134863408350
u06,t09,0.951317165266968,0.818257656079288
u02,t02,-0.042073950730061,-0.391887746596366
u01,t07,0.377680107282172,-0.310915779722435
u08,t08,0.431755571191717,0.463718198471416
u08,t02,0.038730206781705,0.205383762105394
u05,t01,-0.097987708342553,0.282601058261882
u08,t07,0.271500733971346,0.193074516449678
u06,t07,0.813820640776364,0.465474495999455
u12,t05,0.588324623639016,0.737650903918435
u01,t02,0.077797320869364,-0.014815621317000
u02,t04,0.061651922787376,-0.043151456096837
u05,t05,0.061280280808983,0.427526888240906
u12,t02,0.426721276131119,1.085237691098824
u04,t08,0.432022196383334,0.046965538641447
u07,t03,0.145221291758920,0.549978129275326
u03,t02,0.509300435749937,0.208061503658235
u11,t04,-0.024191830942918,0.718123452850130
u02,t09,0.277565349704847,-0.172471338713494
u08,t04,0.040393424080556,0.416859908934586
u10,t04,0.040160732693747,0.741493632559985
u07,t05,-0.002187625702645,0.140806940222908
u07,t04,0.102382662362596,0.480369788166302
u03,t04,0.551835334883915,0.200681254901402
u04,t02,0.126232864755398,0.278263351007618
u03,t05,0.643921797002296,-0.064154626287423
u02,t06,0.255995302713408,0.185952892022882
u09,t05,0.716947812892219,1.029608415807120
u12,t03,0.558281183436575,0.984513808913267
u02,t03,-0.005634775265697,-0.107236502559583
u12,t07,1.021409116115613,0.814474685449678
u06,t08,0.829566178970203,0.425576355043123
u02,t08,0.333931766568584,-0.057284195424050
u01,t04,-0.039951295473170,-0.018457168423860
u10,t05,-0.045316313396993,0.656511612472813
u12,t06,0.930290665268095,1.078020228792176
u05,t06,0.288192749801872,0.221245042981202
u05,t09,0.449584154850641,0.056146821323906
u11,t08,0.338984071747747,0.281511580963149
u01,t01,0.147606494479726,-0.023301344701333
u03,t09,1.039633203733692,0.014036274057103
u12,t08,1.008972433872690,1.094054767632718
u11,t02,-0.066988612080341,0.565738183144543
u08,t01,0.192575883794304,0.597095955800091
u07,t07,0.179878013864686,0.038721167927497
u05,t08,0.495382790879835,0.129223142354556
u10,t07,0.420635250914245,0.942659009551671
u04,t07,0.441740746131624,0.352536590550502
u06,t04,0.515435087716930,0.361895494960498
u11,t05,-0.085399646958424,0.616066444097731
u04,t01,-0.159998136872208,0.153492458093567
u03,t07,1.004450397104851,0.226756572281338
u05,t02,0.009475237166391,0.320647855223396
u10,t02,0.140562129347254,0.590362273470096
u06,t05,0.557152353167569,0.366784196779083
u08,t03,-0.154922555162178,0.472380699980735
u09,t01,0.662905203602824,1.102456019173510
u04,t05,0.171376844603557,0.032097603703073
u06,t02,0.599967824631500,0.509212569917586
u12,t04,0.584544517843974,1.107864550439672
u07,t08,0.351706785039437,0.477387606665721
u01,t05,-0.061860271586778,-0.232423240576697
u12,t01,0.576144509257485,1.160925728907360
u04,t06,0.281526717065743,0.149321816266064
u10,t08,0.239814097357872,0.300840262226512
u11,t06,0.364848168382593,0.540100444246886
u10,t09,0.406691812313881,0.551777559183437
u03,t03,0.587024422037928,0.081909738049251
u07,t09,0.323416170748003,0.105602947950905
u10,t01,-0.023336710054019,0.490435666744790
u06,t06,0.889649177361640,0.762558873551188
u07,t02,0.197968714466094,0.509941651456333
u01,t06,0.301631425669051,0.075235002907671
u11,t03,0.128805080485897,0.520457760758481
u02,t07,0.498279839406970,0.300729502390506
u01,t08,0.404167577595294,0.164391067368523
u04,t03,0.010554913894557,0.445928329461649
u08,t06,0.328383498755456,0.413793192940766
u07,t06,0.199627106567453,0.394338617724987
u07,t01,0.104586528439750,0.615836323702948
u02,t05,0.005966619464942,-0.076692789313489
u09,t06,0.919984724494681,0.647682579708827
u09,t08,1.011828315706633,0.472223729140012
u08,t09,0.333989291140546,0.562137989637903
u01,t03,0.036899550709880,-0.036543459164760
u09,t07,1.023766262927200,0.805434834445647
u09,t03,0.699640134606991,1.199058804482067
u11,t09,0.252585795617561,0.410364543956656
u09,t02,0.541187040479103,0.557875967578879
u09,t04,0.531860031826216,0.634966379912998
u03,t08,0.770806264442052,0.674602274858307
u12,t09,1.000956681930790,0.972957829016307
u02,t01,0.069414260479477,0.031943964068150
u03,t06,0.930709137185677,0.670565661323966
u04,t09,0.309648866392847,0.150840307686193
u11,t01,-0.103238353812737,0.747734907092508
u05,t07,0.297646487448307,0.025907955311008
u10,t06,0.292545795088646,0.627205151780246
u06,t03,0.441645673950054,0.122470622655693
u10,t03,-0.185741508708176,0.503995189560424
u11,t07,0.470397146786405,0.816886903244508
u05,t03,0.067644998873151,0.287432456730727
u01,t09,0.358213572145189,-0.181921618046440
u06,t01,0.499185734767971,0.856922908164187
u09,t09,0.869038889449183,0.393850015424717
u08,t05,0.089847129511157,0.441404657365006
u04,t04,-0.087553519336965,-0.094602076191645
u03,t01,0.651351724020238,0.582132720897274
