unit,time,x,y,control
c01,t01,0.106296733686644,-0.287921693645987,0.118627207528133
c01,t02,-0.175835610163630,-0.046808355514872,-0.077453215289243
c01,t03,-0.096323770919239,-0.120409704017382,-0.239099324694040
c01,t04,-0.165094975111456,-0.464459163331116,-0.318827925877725
c01,t05,-0.373893522879719,-0.472805817924989,-0.344470403308310
c01,t06,-0.213321793979828,-0.222123923340600,-0.393584674201467
c02,t01,0.038581249929357,0.465431227259233,0.212546784710757
c02,t02,-0.024502102149167,0.228779464999618,0.081172074122275
c02,t03,0.209813889485258,-0.186132735819842,0.116415325798533
c02,t04,-0.161563278370159,-0.121701857770028,-0.093095003042775
c02,t05,-0.241889278383016,-0.234815390034792,-0.265516437616881
c02,t06,-0.031601084405123,-0.173166240940831,-0.224053143714076
c03,t01,0.086580607654065,0.044240038822304,0.340900675305960
c03,t02,0.389918016338231,0.265235369105219,0.406415325798533
c03,t03,0.199799152573764,0.334653049368504,0.127998276430379
c03,t04,-0.076977491143991,-0.112558257198238,0.175946856285924
c03,t05,0.008430895825896,0.271419426311366,-0.078371912157294
c03,t06,0.068536118615357,0.154008430933157,-0.060571496258033
c04,t01,0.292659852821617,0.274319981115341,0.551172074122275
c04,t02,0.473400327735655,0.365663734111861,0.486904996957225
c04,t03,0.203221885110164,0.070720299980289,0.465946856285924
c04,t04,0.011823371128527,-0.005771438067514,0.193810646770895
c04,t05,0.342054114117548,0.117596640119538,0.206727385563205
c04,t06,0.017955247380230,-0.081403402914949,0.098176110660330
c05,t01,0.681665855843013,0.874801581584138,0.815529596691690
c05,t02,0.479402317596104,0.398136470098572,0.604483562383119
c05,t03,0.202528237508866,0.399060456814566,0.501628087842706
c05,t04,0.405470503932257,0.375733732482455,0.496727385563205
c05,t05,0.420871317614466,0.427488659470940,0.439208253067712
c05,t06,0.041017237427375,0.132061834944650,0.253882630489882
c06,t01,0.913056102726678,0.935391999785952,1.056415325798533
c06,t02,0.567027304132066,0.798829209213566,0.935946856285924
c06,t03,0.486871291762368,0.544097249709712,0.809428503741967
c06,t04,0.639004639194242,0.546267900668041,0.678176110660330
c06,t05,0.335499652476011,0.597722777377115,0.543882630489883
c06,t06,1.420855638899539,0.766023591057929,0.408483267933534
